fragment_ids,grades,gs_rating,lat,level,level_codes,link,location,lon,name,region_id,school_id,size,students_per_teacher,type
,PK-5,7,40.6938,Elementary,[u'Elementary'],/new-york-ny/schools/brighter-choice-community-school-63801/,"[-73.9407, 40.6938]",-73.9407,Brighter Choice Community School,543576,63801,166,15,Public
,6-12,7,40.6671,High,"[u'Middle', u'High']",/new-york-ny/schools/medgar-evers-college-preparatory-school-63805/,"[-73.9523, 40.6671]",-73.9523,Medgar Evers College Preparatory School,474422,63805,1242,21,Public
,PK-8,7,40.6742,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-138-64475/,"[-73.9514, 40.6742]",-73.9514,Ps 138,479033,64475,684,13,Public
,PK-5,7,40.6745,Elementary,[u'Elementary'],/new-york-ny/schools/ps-289-george-v-brower-64485/,"[-73.9423, 40.6745]",-73.9423,Ps 289 George V Brower,479047,64485,385,13,Public
,6-12,7,40.6496,High,"[u'Middle', u'High']",/new-york-ny/schools/science-tech-and-research-high-school-at-erasmus-64498/,"[-73.9583, 40.6496]",-73.9583,Science Tech And Research High School At Erasmus,557517,64498,532,18,Public
,K-5,7,40.6981,Elementary,[u'Elementary'],/new-york-ny/schools/ps-376-64921/,"[-73.9203, 40.6981]",-73.9203,Ps 376,474736,64921,566,17,Public
,9-12,7,40.7435,High,[u'High'],/new-york-ny/schools/aviation-career-and-technical-high-school-64948/,"[-73.9293, 40.7435]",-73.9293,Aviation Career and Technical High School,474762,64948,2147,17,Public
,6-8,7,40.7058,Middle,[u'Middle'],/new-york-ny/schools/is-93-ridgewood-68452/,"[-73.903, 40.7058]",-73.903,Is 93 Ridgewood,476170,68452,1157,14,Public
,9-12,7,40.7182,High,[u'High'],/new-york-ny/schools/bard-high-school-early-college-queens-69404/,"[-73.976, 40.7182]",-73.976,Bard High School Early College Queens,476858,69404,623,17,Public
,9-12,7,40.7561,High,[u'High'],/new-york-ny/schools/frank-sinatra-school-of-the-arts-high-school-146137/,"[-73.9251, 40.7561]",-73.9251,Frank Sinatra School Of The Arts High School,744518,146137,830,18,Public
,K-12,7,40.6884,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/excellence-girls-charter-school-157699/,"[-73.9244, 40.6884]",-73.9244,Excellence Girls Charter School,634544,157699,705,10,Charter
,K-12,7,40.5744,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/coney-island-preparatory-public-charter-school-157703/,"[-73.9901, 40.5744]",-73.9901,Coney Island Preparatory Public Charter School,629607,157703,785,13,Charter
,K-12,7,40.6723,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/leadership-preparatory-ocean-hill-charter-school-157706/,"[-73.9061, 40.6723]",-73.9061,Leadership Preparatory Ocean Hill Charter School,744166,157706,705,11,Charter
,K-8,7,40.6857,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/leadership-preparatory-brownsville-charter-school-157715/,"[-73.966, 40.6857]",-73.966,Leadership Preparatory Brownsville Charter School,633759,157715,669,10,Charter
,5-8,7,40.678,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ocean-hill-collegiate-charter-school-157716/,"[-73.9152, 40.678]",-73.9152,Ocean Hill Collegiate Charter School,745435,157716,392,10,Charter
,K-5,7,40.6439,Elementary,[u'Elementary'],/new-york-ny/schools/new-hope-academy-charter-school-157719/,"[-73.9224, 40.6439]",-73.9224,New Hope Academy Charter School,630048,157719,388,,Charter
,K-8,7,40.6937,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/bushwick-ascend-charter-school-157721/,"[-73.9089, 40.6937]",-73.9089,Bushwick Ascend Charter School,745545,157721,745,14,Charter
,K-5,7,40.6602,Elementary,[u'Elementary'],/new-york-ny/schools/imagine-me-leadership-charter-school-157722/,"[-73.8835, 40.6602]",-73.8835,Imagine Me Leadership Charter School,634032,157722,225,14,Charter
,K-8,7,40.6321,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/brooklyn-dreams-charter-school-157739/,"[-73.9697, 40.6321]",-73.9697,Brooklyn Dreams Charter School,632985,157739,580,,Charter
,K-5,7,40.6395,Elementary,[u'Elementary'],/new-york-ny/schools/ps-310-159761/,"[-74.0203, 40.6395]",-74.0203,Ps 310,695615,159761,452,14,Public
,9-12,6,40.7166,High,[u'High'],/new-york-ny/schools/thomas-a-edison-career-and-technical-high-school-48677/,"[-73.799, 40.7166]",-73.799,Thomas A Edison Career and Technical High School,466386,48677,2141,21,Public
,9-12,6,40.7565,High,[u'High'],/new-york-ny/schools/academy-for-careers-in-television-and-film-49067/,"[-73.9327, 40.7565]",-73.9327,Academy for Careers In Television and Film,469631,49067,545,14,Public
,K-8,6,40.6897,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/brooklyn-excelsior-charter-school-49551/,"[-73.9251, 40.6897]",-73.9251,Brooklyn Excelsior Charter School,520370,49551,710,17,Charter
,PK-5,6,40.7153,Elementary,[u'Elementary'],/new-york-ny/schools/ps-17-henry-d-woodworth-49704/,"[-73.9572, 40.7153]",-73.9572,Ps 17 Henry D Woodworth,467047,49704,298,10,Public
,PK-5,6,40.7236,Elementary,[u'Elementary'],/new-york-ny/schools/ps-110-the-monitor-49713/,"[-73.9421, 40.7236]",-73.9421,Ps 110 The Monitor,467057,49713,442,14,Public
,6-8,6,40.7031,Middle,[u'Middle'],/new-york-ny/schools/is-318-eugeno-maria-de-hostos-49723/,"[-73.9484, 40.7031]",-73.9484,Is 318 Eugeno Maria De Hostos,555440,49723,1489,16,Public
,9-12,6,40.7154,High,[u'High'],/new-york-ny/schools/brooklyn-preparatory-high-school-49730/,"[-73.9549, 40.7154]",-73.9549,Brooklyn Preparatory High School,467073,49730,519,14,Public
,6-8,6,40.7147,Middle,[u'Middle'],/new-york-ny/schools/conselyea-preparatory-school-49731/,"[-73.946, 40.7147]",-73.946,Conselyea Preparatory School,467074,49731,497,15,Public
,6-12,6,40.6612,Middle,"[u'Middle', u'High']",/new-york-ny/schools/east-new-york-family-academy-49814/,"[-73.8868, 40.6612]",-73.8868,East New York Family Academy,535843,49814,488,17,Public
,6-8,6,40.6653,Middle,[u'Middle'],/new-york-ny/schools/is-392-51095/,"[-73.9177, 40.6653]",-73.9177,Is 392,507458,51095,256,15,Public
,9-12,6,40.6895,High,[u'High'],/new-york-ny/schools/high-school-construction-trades-engineering-and-arc-51537/,"[-73.8412, 40.6895]",-73.8412,High School Construction Trades Engineering And Arc,467937,51537,974,16,Public
,5-12,6,40.7059,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/williamsburg-collegiate-charter-school-52233/,"[-73.9619, 40.7059]",-73.9619,Williamsburg Collegiate Charter School,551414,52233,330,12,Charter
,K-12,6,40.6621,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/achievement-first-crown-heights-charter-school-52235/,"[-73.9364, 40.6621]",-73.9364,Achievement First Crown Heights Charter School,519744,52235,1011,12,Charter
,K-12,6,40.6723,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/kipp-amp-charter-school-52236/,"[-73.9373, 40.6723]",-73.9373,KIPP Amp Charter School,569220,52236,786,13,Charter
,PK-8,6,40.629,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-192-magnet-school-for-math-and-science-inquiry-52334/,"[-73.9798, 40.629]",-73.9798,Ps 192 Magnet School For Math And Science Inquiry,468382,52334,685,11,Public
,PK-8,6,40.6214,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-99-isaac-asimov-52469/,"[-73.9657, 40.6214]",-73.9657,Ps 99 Isaac Asimov,468447,52469,882,16,Public
,K-8,6,40.6228,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-121-nelson-a-rockefeller-52472/,"[-73.9788, 40.6228]",-73.9788,Ps 121 Nelson A Rockefeller,468451,52472,346,10,Public
,K-5,6,40.6049,Elementary,[u'Elementary'],/new-york-ny/schools/ps-128-bensonhurst-52473/,"[-73.9952, 40.6049]",-73.9952,Ps 128 Bensonhurst,468453,52473,423,13,Public
,PK-5,6,40.6012,Elementary,[u'Elementary'],/new-york-ny/schools/ps-153-homecrest-52474/,"[-73.9601, 40.6012]",-73.9601,Ps 153 Homecrest,468454,52474,564,15,Public
,PK-5,6,40.6084,Elementary,[u'Elementary'],/new-york-ny/schools/ps-177-the-marlboro-52475/,"[-73.9744, 40.6084]",-73.9744,Ps 177 The Marlboro,468455,52475,952,16,Public
,PK-5,6,40.6023,Elementary,[u'Elementary'],/new-york-ny/schools/ps-215-morris-h-weiss-52480/,"[-73.9699, 40.6023]",-73.9699,Ps 215 Morris H Weiss,468461,52480,932,18,Public
,9-12,6,40.5938,High,[u'High'],/new-york-ny/schools/expeditionary-learning-school-for-community-leader-52500/,"[-73.9859, 40.5938]",-73.9859,Expeditionary Learning School For Community Leader,507736,52500,282,14,Public
,PK-5,6,40.6449,Elementary,[u'Elementary'],/new-york-ny/schools/ps-245-52649/,"[-73.9628, 40.6449]",-73.9628,Ps 245,470588,52649,313,14,Public
,PK-5,6,40.6125,Elementary,[u'Elementary'],/new-york-ny/schools/ps-197-the-kings-highway-academy-52665/,"[-73.9517, 40.6125]",-73.9517,Ps 197 The Kings Highway Academy,470604,52665,617,13,Public
,PK-5,6,40.6372,Elementary,[u'Elementary'],/new-york-ny/schools/ps-198-52666/,"[-73.9371, 40.6372]",-73.9371,Ps 198,470605,52666,480,15,Public
,9-12,6,40.7656,High,[u'High'],/new-york-ny/schools/manhattan-bridges-high-school-55624/,"[-73.9932, 40.7656]",-73.9932,Manhattan Bridges High School,470093,55624,512,16,Public
,PK-5,6,40.6784,Elementary,[u'Elementary'],/new-york-ny/schools/ps-9-teunis-g-bergen-63484/,"[-73.9658, 40.6784]",-73.9658,Ps 9 Teunis G Bergen,474203,63484,866,16,Public
,PK-5,6,40.6903,Elementary,[u'Elementary'],/new-york-ny/schools/ps-20-clinton-hill-63486/,"[-73.9715, 40.6903]",-73.9715,Ps 20 Clinton Hill,474205,63486,404,14,Public
,PK-8,6,40.6765,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-282-park-slope-63500/,"[-73.9777, 40.6765]",-73.9777,Ps 282 Park Slope,474219,63500,700,15,Public
,6-8,6,40.7016,Middle,[u'Middle'],/new-york-ny/schools/satellite-west-middle-school-63510/,"[-73.9817, 40.7016]",-73.9817,Satellite West Middle School,474230,63510,78,10,Public
,PK-5,6,40.6803,Elementary,[u'Elementary'],/new-york-ny/schools/ps-32-samuels-mills-sprole-63638/,"[-73.9915, 40.6803]",-73.9915,Ps 32 Samuels Mills Sprole,477050,63638,495,7,Public
,PK-5,6,40.6675,Elementary,[u'Elementary'],/new-york-ny/schools/ps-124-silas-b-dutcher-63646/,"[-73.9907, 40.6675]",-73.9907,Ps 124 Silas B Dutcher,477057,63646,343,13,Public
,PK-5,6,40.6489,Elementary,[u'Elementary'],/new-york-ny/schools/ps-130-the-parkside-63647/,"[-73.9759, 40.6489]",-73.9759,Ps 130 The Parkside,477058,63647,768,15,Public
,PK-5,6,40.6453,Elementary,[u'Elementary'],/new-york-ny/schools/ps-230-doris-l-cohen-63652/,"[-73.9804, 40.6453]",-73.9804,Ps 230 Doris L Cohen,477063,63652,1223,14,Public
,6-8,6,40.6802,Middle,[u'Middle'],/new-york-ny/schools/new-horizons-school-63775/,"[-73.9913, 40.6802]",-73.9913,New Horizons School,532061,63775,218,7,Public
,6-8,6,40.6881,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ms-267-math-science-and-technology-63794/,"[-73.9323, 40.6881]",-73.9323,Ms 267 Math Science And Technology,543574,63794,180,10,Public
,PK-5,6,40.6817,Elementary,[u'Elementary'],/new-york-ny/schools/brooklyn-brownstone-school-63802/,"[-73.9357, 40.6817]",-73.9357,Brooklyn Brownstone School,516020,63802,221,19,Public
,PK-5,6,40.6732,Elementary,[u'Elementary'],/new-york-ny/schools/dr-jacqueline-peek-davis-school-63807/,"[-73.9198, 40.6732]",-73.9198,Dr Jacqueline Peek-Davis School,474425,63807,231,13,Public
,PK-5,6,40.6587,Elementary,[u'Elementary'],/new-york-ny/schools/ps-397-foster-laurie-64487/,"[-73.9464, 40.6587]",-73.9464,Ps 397 Foster Laurie,479049,64487,258,14,Public
,9-12,6,40.6593,High,[u'High'],/new-york-ny/schools/high-school-for-public-service-heroes-of-tomorrow-64495/,"[-73.9432, 40.6593]",-73.9432,High School for Public Service-Heroes of Tomorrow,479055,64495,465,18,Public
,PK-5,6,40.6442,Elementary,[u'Elementary'],/new-york-ny/schools/ps-279-herman-schreiber-64675/,"[-73.8927, 40.6442]",-73.8927,Ps 279 Herman Schreiber,474685,64675,477,13,Public
,PK-8,6,40.6486,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-66-64679/,"[-73.9068, 40.6486]",-73.9068,Ps 66,559657,64679,819,17,Public
,6-12,6,40.6554,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/brooklyn-prospect-charter-school-157697/,"[-74.0043, 40.6554]",-74.0043,Brooklyn Prospect Charter School,630032,157697,925,12,Charter
,K-8,6,40.6696,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/brooklyn-scholars-charter-school-157702/,"[-73.8673, 40.6696]",-73.8673,Brooklyn Scholars Charter School,634301,157702,627,21,Charter
,K-8,6,40.6186,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/hebrew-language-academy-157704/,"[-73.9466, 40.6186]",-73.9466,Hebrew Language Academy,635069,157704,728,10,Charter
,5-8,6,40.6786,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/brooklyn-east-collegiate-charter-school-157736/,"[-73.9659, 40.6786]",-73.9659,Brooklyn East Collegiate Charter School,635310,157736,385,,Charter
